"","X","date","hm","hg","year","spot"
"1",1,"01-dec-1990",14.816,22.224,1990.91506849315,"clare"
"2",2,"02-dec-1990",7.408,11.112,1990.91780821918,"clare"
"3",3,"03-dec-1990",18.52,29.632,1990.92054794521,"clare"
"4",4,"04-dec-1990",5.556,11.112,1990.92328767123,"clare"
"5",5,"05-dec-1990",7.408,12.964,1990.92602739726,"clare"
"6",6,"06-dec-1990",18.52,33.336,1990.92876712329,"clare"
"7",7,"07-dec-1990",29.632,59.264,1990.93150684932,"clare"
"8",8,"08-dec-1990",29.632,53.708,1990.93424657534,"clare"
"9",9,"09-dec-1990",35.188,68.524,1990.93698630137,"clare"
"10",10,"10-dec-1990",12.964,25.928,1990.9397260274,"clare"
"11",11,"11-dec-1990",37.04,61.116,1990.94246575342,"clare"
"12",12,"12-dec-1990",31.484,51.856,1990.94520547945,"clare"
"13",13,"13-dec-1990",12.964,22.224,1990.94794520548,"clare"
"14",14,"14-dec-1990",20.372,33.336,1990.95068493151,"clare"
"15",15,"15-dec-1990",22.224,33.336,1990.95342465753,"clare"
"16",16,"16-dec-1990",1.852,1.852,1990.95616438356,"clare"
"17",17,"17-dec-1990",24.076,37.04,1990.95890410959,"clare"
"18",18,"18-dec-1990",22.224,40.744,1990.96164383562,"clare"
"19",19,"19-dec-1990",24.076,46.3,1990.96438356164,"clare"
"20",20,"20-dec-1990",35.188,62.968,1990.96712328767,"clare"
"21",21,"21-dec-1990",29.632,50.004,1990.9698630137,"clare"
"22",22,"22-dec-1990",31.484,59.264,1990.97260273973,"clare"
"23",23,"23-dec-1990",37.04,72.228,1990.97534246575,"clare"
"24",24,"24-dec-1990",37.04,68.524,1990.97808219178,"clare"
"25",25,"25-dec-1990",55.56,100.008,1990.98082191781,"clare"
"26",26,"26-dec-1990",66.672,109.268,1990.98356164384,"clare"
"27",27,"27-dec-1990",57.412,101.86,1990.98630136986,"clare"
"28",28,"28-dec-1990",53.708,85.192,1990.98904109589,"clare"
"29",29,"29-dec-1990",50.004,87.044,1990.99178082192,"clare"
"30",30,"30-dec-1990",40.744,72.228,1990.99452054795,"clare"
"31",31,"31-dec-1990",31.484,51.856,1990.99726027397,"clare"
"32",32,"01-jan-1991",48.152,85.192,1991,"clare"
"33",33,"02-jan-1991",42.596,85.192,1991.00273972603,"clare"
"34",34,"03-jan-1991",46.3,87.044,1991.00547945205,"clare"
"35",35,"04-jan-1991",44.448,70.376,1991.00821917808,"clare"
"36",36,"05-jan-1991",83.34,138.9,1991.01095890411,"clare"
"37",37,"06-jan-1991",62.968,94.452,1991.01369863014,"clare"
"38",38,"07-jan-1991",53.708,112.972,1991.01643835616,"clare"
"39",39,"08-jan-1991",25.928,51.856,1991.01917808219,"clare"
"40",40,"09-jan-1991",40.744,70.376,1991.02191780822,"clare"
"41",41,"10-jan-1991",42.596,94.452,1991.02465753425,"clare"
"42",42,"11-jan-1991",40.744,68.524,1991.02739726027,"clare"
"43",43,"12-jan-1991",27.78,51.856,1991.0301369863,"clare"
"44",44,"13-jan-1991",35.188,59.264,1991.03287671233,"clare"
"45",45,"14-jan-1991",38.892,64.82,1991.03561643836,"clare"
"46",46,"15-jan-1991",27.78,44.448,1991.03835616438,"clare"
"47",47,"16-jan-1991",42.596,68.524,1991.04109589041,"clare"
"48",48,"17-jan-1991",33.336,57.412,1991.04383561644,"clare"
"49",49,"18-jan-1991",62.968,98.156,1991.04657534247,"clare"
"50",50,"19-jan-1991",33.336,55.56,1991.04931506849,"clare"
"51",51,"20-jan-1991",35.188,57.412,1991.05205479452,"clare"
"52",52,"21-jan-1991",14.816,27.78,1991.05479452055,"clare"
"53",53,"22-jan-1991",7.408,12.964,1991.05753424658,"clare"
"54",54,"23-jan-1991",9.26,14.816,1991.0602739726,"clare"
"55",55,"24-jan-1991",24.076,42.596,1991.06301369863,"clare"
"56",56,"25-jan-1991",24.076,37.04,1991.06575342466,"clare"
"57",57,"26-jan-1991",18.52,27.78,1991.06849315068,"clare"
"58",58,"27-jan-1991",18.52,29.632,1991.07123287671,"clare"
"59",59,"28-jan-1991",35.188,59.264,1991.07397260274,"clare"
"60",60,"29-jan-1991",22.224,42.596,1991.07671232877,"clare"
"61",61,"30-jan-1991",14.816,25.928,1991.07945205479,"clare"
"62",62,"31-jan-1991",22.224,33.336,1991.08219178082,"clare"
"63",63,"01-feb-1991",25.928,37.04,1991.08493150685,"clare"
"64",64,"02-feb-1991",20.372,27.78,1991.08767123288,"clare"
"65",65,"03-feb-1991",33.336,48.152,1991.0904109589,"clare"
"66",66,"04-feb-1991",31.484,48.152,1991.09315068493,"clare"
"67",67,"05-feb-1991",37.04,48.152,1991.09589041096,"clare"
"68",68,"06-feb-1991",64.82,87.044,1991.09863013699,"clare"
"69",69,"07-feb-1991",48.152,70.376,1991.10136986301,"clare"
"70",70,"08-feb-1991",24.076,37.04,1991.10410958904,"clare"
"71",71,"09-feb-1991",24.076,31.484,1991.10684931507,"clare"
"72",72,"10-feb-1991",12.964,25.928,1991.1095890411,"clare"
"73",73,"11-feb-1991",11.112,16.668,1991.11232876712,"clare"
"74",74,"12-feb-1991",31.484,38.892,1991.11506849315,"clare"
"75",75,"13-feb-1991",11.112,14.816,1991.11780821918,"clare"
"76",76,"14-feb-1991",22.224,29.632,1991.12054794521,"clare"
"77",77,"15-feb-1991",33.336,46.3,1991.12328767123,"clare"
"78",78,"16-feb-1991",40.744,62.968,1991.12602739726,"clare"
"79",79,"17-feb-1991",35.188,48.152,1991.12876712329,"clare"
"80",80,"18-feb-1991",22.224,29.632,1991.13150684931,"clare"
"81",81,"19-feb-1991",25.928,33.336,1991.13424657534,"clare"
"82",82,"20-feb-1991",25.928,37.04,1991.13698630137,"clare"
"83",83,"21-feb-1991",33.336,48.152,1991.1397260274,"clare"
"84",84,"22-feb-1991",46.3,68.524,1991.14246575342,"clare"
"85",85,"23-feb-1991",59.264,74.08,1991.14520547945,"clare"
"86",86,"24-feb-1991",25.928,44.448,1991.14794520548,"clare"
"87",87,"25-feb-1991",50.004,62.968,1991.15068493151,"clare"
"88",88,"26-feb-1991",37.04,50.004,1991.15342465753,"clare"
